Month_Start,Store ID,Product ID,Demand Forecast,Units Sold,Units Ordered,Price,Competitor Pricing,Discount,Inventory Level,Holiday/Promotion,Category,Region,Weather_Cloudy,Weather_Rainy,Weather_Snowy,Weather_Sunny,Lag_1_Demand,Lag_1_Ordered,Lag_2_Demand,Lag_2_Ordered,Lag_3_Demand,Lag_3_Ordered,Rolling_Mean_3M,Price_Diff_Percent,Month,Quarter,Month_Sin,Month_Cos,Store_ID_Enc,Product_ID_Enc,Category_Enc,Region_Enc
2022-04-01,S001,P0001,1631.69,1602,1273,48.79583333333333,47.906666666666666,11.666666666666666,261.3333333333333,4,Groceries,South,6,2,1,3,1073.78,1670.0,1811.2,1230.0,1493.23,1014.0,1459.4033333333334,0.018560395212913878,4,2,0.8660254037844387,-0.4999999999999998,0,0,3,2
2022-05-01,S001,P0001,1703.3,1659,1510,54.31166666666667,54.212500000000006,13.333333333333334,310.6666666666667,5,Groceries,South,1,1,6,4,1631.69,1273.0,1073.78,1670.0,1811.2,1230.0,1505.5566666666666,0.0018292214280223515,5,2,0.49999999999999994,-0.8660254037844387,0,0,3,2
2022-06-01,S001,P0001,1669.86,1580,1152,67.54833333333333,68.0975,11.25,301.75,5,Electronics,East,3,5,4,0,1703.3,1510.0,1631.69,1273.0,1073.78,1670.0,1469.5900000000001,-0.008064417440679388,6,2,1.2246467991473532e-16,-1.0,0,0,1,0
2022-07-01,S001,P0001,1810.13,1728,1205,58.781666666666666,59.64833333333333,7.5,244.66666666666663,6,Furniture,North,2,3,2,5,1669.86,1152.0,1703.3,1510.0,1631.69,1273.0,1668.2833333333335,-0.014529604068289147,7,3,-0.4999999999999997,-0.8660254037844388,0,0,2,1
2022-08-01,S001,P0001,1159.9299999999998,1073,1153,61.12416666666667,62.07749999999999,12.916666666666666,235.58333333333331,6,Furniture,East,4,3,4,1,1810.13,1205.0,1669.86,1152.0,1703.3,1510.0,1727.7633333333333,-0.015357147651457069,8,3,-0.8660254037844385,-0.5000000000000004,0,0,2,0
2022-09-01,S001,P0001,1663.74,1627,1526,56.0725,55.89000000000001,10.416666666666666,286.5833333333333,3,Electronics,South,3,3,0,6,1159.9299999999998,1153.0,1810.13,1205.0,1669.86,1152.0,1546.64,0.0032653426373231405,9,3,-1.0,-1.8369701987210297e-16,0,0,1,2
2022-10-01,S001,P0001,1671.13,1589,1238,60.212500000000006,59.78416666666667,7.083333333333333,309.25,4,Electronics,West,0,4,4,4,1663.74,1526.0,1159.9299999999998,1153.0,1810.13,1205.0,1544.6000000000001,0.007164661769420574,10,4,-0.8660254037844386,0.5000000000000001,0,0,1,3
2022-11-01,S001,P0001,1911.29,1859,1746,40.60666666666666,42.15,8.75,261.6666666666667,6,Furniture,West,4,5,2,1,1671.13,1238.0,1663.74,1526.0,1159.9299999999998,1153.0,1498.2666666666667,-0.0366152629497826,11,4,-0.5000000000000004,0.8660254037844384,0,0,2,3
2022-12-01,S001,P0001,1988.77,1946,1484,71.40583333333333,71.18583333333333,12.083333333333334,309.25,6,Toys,South,2,4,3,3,1911.29,1746.0,1671.13,1238.0,1663.74,1526.0,1748.72,0.0030905025578591085,12,4,-2.4492935982947064e-16,1.0,0,0,4,2
2023-01-01,S001,P0001,1589.91,1484,1230,45.439166666666665,46.18833333333333,12.083333333333334,289.9166666666667,8,Clothing,South,3,3,3,3,1988.77,1484.0,1911.29,1746.0,1671.13,1238.0,1857.0633333333335,-0.0162198246310396,1,1,0.49999999999999994,0.8660254037844387,0,0,0,2
2023-02-01,S001,P0001,1872.69,1846,1623,54.43333333333334,54.73416666666666,9.583333333333334,329.5,3,Clothing,South,2,4,1,5,1589.91,1230.0,1988.77,1484.0,1911.29,1746.0,1829.99,-0.005496262237176462,2,1,0.8660254037844386,0.5000000000000001,0,0,0,2
2023-03-01,S001,P0001,2125.93,2011,1457,52.0925,51.75666666666667,12.083333333333334,316.8333333333333,6,Electronics,East,3,2,2,5,1872.69,1623.0,1589.91,1230.0,1988.77,1484.0,1817.1233333333337,0.006488697108263028,3,1,1.0,6.123233995736766e-17,0,0,1,0
2023-04-01,S001,P0001,1320.28,1223,1136,46.13833333333333,45.3475,10.416666666666666,189.25,7,Clothing,East,4,4,2,2,2125.93,1457.0,1872.69,1623.0,1589.91,1230.0,1862.8433333333332,0.01743940312769903,4,2,0.8660254037844387,-0.4999999999999998,0,0,0,0
2023-05-01,S001,P0001,1023.39,924,1206,51.49416666666667,52.865,10.0,298.5833333333333,9,Furniture,South,4,2,3,3,1320.28,1136.0,2125.93,1457.0,1872.69,1623.0,1772.9666666666665,-0.025930830101831646,5,2,0.49999999999999994,-0.8660254037844387,0,0,2,2
2023-06-01,S001,P0001,2061.17,1962,1456,52.66833333333333,52.36333333333334,8.75,263.8333333333333,6,Furniture,East,2,5,1,4,1023.39,1206.0,1320.28,1136.0,2125.93,1457.0,1489.8666666666666,0.005824686485454057,6,2,1.2246467991473532e-16,-1.0,0,0,2,0
2023-07-01,S001,P0001,905.74,834,1655,46.29083333333333,46.55,8.75,286.0833333333333,5,Clothing,West,2,2,5,3,2061.17,1456.0,1023.39,1206.0,1320.28,1136.0,1468.28,-0.0055674901539562935,7,3,-0.4999999999999997,-0.8660254037844388,0,0,0,3
2023-08-01,S001,P0001,2007.43,1928,974,67.13583333333334,67.64666666666666,9.583333333333334,269.6666666666667,5,Toys,West,3,2,1,6,905.74,1655.0,2061.17,1456.0,1023.39,1206.0,1330.1000000000001,-0.0075514930521334905,8,3,-0.8660254037844385,-0.5000000000000004,0,0,4,3
2023-09-01,S001,P0001,1465.34,1403,1071,54.66166666666667,54.083333333333336,10.416666666666666,259.1666666666667,4,Toys,East,2,1,5,4,2007.43,974.0,905.74,1655.0,2061.17,1456.0,1658.1133333333335,0.010693374422187978,9,3,-1.0,-1.8369701987210297e-16,0,0,4,0
2023-10-01,S001,P0001,1589.68,1504,1074,57.755,59.01,10.416666666666666,294.25,6,Electronics,North,3,1,5,3,1465.34,1071.0,2007.43,974.0,905.74,1655.0,1459.5033333333333,-0.02126758176580233,10,4,-0.8660254037844386,0.5000000000000001,0,0,1,1
2023-11-01,S001,P0001,1462.08,1380,1048,50.42166666666666,50.40916666666666,12.083333333333334,223.25,4,Clothing,East,3,1,2,6,1589.68,1074.0,1465.34,1071.0,2007.43,974.0,1687.4833333333336,0.00024797077251166973,11,4,-0.5000000000000004,0.8660254037844384,0,0,0,0
2023-12-01,S001,P0001,1750.56,1721,1267,49.915,49.9875,9.583333333333334,253.91666666666663,5,Clothing,South,3,2,4,3,1462.08,1048.0,1589.68,1074.0,1465.34,1071.0,1505.7,-0.0014503625906476221,12,4,-2.4492935982947064e-16,1.0,0,0,0,2
2024-01-01,S001,P0001,53.56,40,93,55.26,59.37,15.0,223.0,0,Toys,East,0,1,0,0,1750.56,1267.0,1462.08,1048.0,1589.68,1074.0,1600.7733333333333,-0.06922688226376958,1,1,0.49999999999999994,0.8660254037844387,0,0,4,0
2022-04-01,S001,P0002,1175.99,1126,1410,58.78416666666666,60.19083333333333,9.166666666666666,248.75,8,Electronics,North,1,4,5,2,1405.3,1528.0,1438.16,1052.0,1641.18,1531.0,1494.88,-0.02337011449694732,4,2,0.8660254037844387,-0.4999999999999998,0,1,1,1
2022-05-01,S001,P0002,2107.32,2018,1405,66.68083333333333,65.5525,10.416666666666666,283.4166666666667,5,Toys,West,3,2,5,2,1175.99,1410.0,1405.3,1528.0,1438.16,1052.0,1339.8166666666666,0.017212666692091535,5,2,0.49999999999999994,-0.8660254037844387,0,1,4,3
2022-06-01,S001,P0002,1724.13,1660,1237,64.115,63.20416666666667,10.0,281.6666666666667,4,Furniture,East,1,3,3,5,2107.32,1405.0,1175.99,1410.0,1405.3,1528.0,1562.8700000000001,0.0144109697409188,6,2,1.2246467991473532e-16,-1.0,0,1,2,0
2022-07-01,S001,P0002,1677.63,1612,1470,55.65083333333333,56.3475,4.583333333333333,248.91666666666663,8,Clothing,North,3,3,2,4,1724.13,1237.0,2107.32,1405.0,1175.99,1410.0,1669.1466666666668,-0.012363754677078228,7,3,-0.4999999999999997,-0.8660254037844388,0,1,0,1
2022-08-01,S001,P0002,2220.38,2167,936,44.28583333333333,43.83166666666667,10.833333333333334,257.5,4,Groceries,South,1,2,1,8,1677.63,1470.0,1724.13,1237.0,2107.32,1405.0,1836.36,0.010361610707631284,8,3,-0.8660254037844385,-0.5000000000000004,0,1,3,2
2022-09-01,S001,P0002,1231.36,1120,1212,64.00833333333334,62.99333333333334,11.25,216.33333333333331,4,Clothing,North,6,0,2,4,2220.38,936.0,1677.63,1470.0,1724.13,1237.0,1874.0466666666669,0.016112816171023395,9,3,-1.0,-1.8369701987210297e-16,0,1,0,1
2022-10-01,S001,P0002,1646.35,1609,1317,57.31916666666666,58.69,11.25,272.5,7,Toys,South,2,4,1,5,1231.36,1212.0,2220.38,936.0,1677.63,1470.0,1709.79,-0.02335718748225144,10,4,-0.8660254037844386,0.5000000000000001,0,1,4,2
2022-11-01,S001,P0002,1766.5,1715,1450,58.0125,58.73500000000001,7.5,307.3333333333333,4,Furniture,North,3,2,6,1,1646.35,1317.0,1231.36,1212.0,2220.38,936.0,1699.3633333333335,-0.012301013024602087,11,4,-0.5000000000000004,0.8660254037844384,0,1,2,1
2022-12-01,S001,P0002,1987.83,1939,1260,63.1825,63.77333333333333,10.833333333333334,296.5,6,Toys,East,1,3,4,4,1766.5,1450.0,1646.35,1317.0,1231.36,1212.0,1548.07,-0.009264582897762951,12,4,-2.4492935982947064e-16,1.0,0,1,4,0
2023-01-01,S001,P0002,1095.42,1077,1285,47.196666666666665,46.196666666666665,13.333333333333334,240.25,8,Toys,North,6,0,3,3,1987.83,1260.0,1766.5,1450.0,1646.35,1317.0,1800.2266666666667,0.02164658344757919,1,1,0.49999999999999994,0.8660254037844387,0,1,4,1
2023-02-01,S001,P0002,2051.12,1942,1350,49.59,49.86083333333334,12.083333333333334,320.4166666666667,5,Toys,West,5,2,3,2,1095.42,1285.0,1987.83,1260.0,1766.5,1450.0,1616.5833333333333,-0.00543178513529328,2,1,0.8660254037844386,0.5000000000000001,0,1,4,3
2023-03-01,S001,P0002,1435.22,1393,1293,60.97583333333333,60.91416666666667,10.416666666666666,293.6666666666667,5,Groceries,East,3,3,3,3,2051.12,1350.0,1095.42,1285.0,1987.83,1260.0,1711.4566666666667,0.001012353448157823,3,1,1.0,6.123233995736766e-17,0,1,3,0
2023-04-01,S001,P0002,1445.16,1390,1423,61.031666666666666,62.37166666666667,12.916666666666666,242.5,5,Groceries,South,6,3,2,1,1435.22,1293.0,2051.12,1350.0,1095.42,1285.0,1527.2533333333333,-0.02148411404751094,4,2,0.8660254037844387,-0.4999999999999998,0,1,3,2
2023-05-01,S001,P0002,1058.12,1000,1347,65.5975,64.52166666666666,13.333333333333334,204.16666666666663,3,Toys,North,4,3,1,4,1445.16,1423.0,1435.22,1293.0,2051.12,1350.0,1643.8333333333333,0.01667398548291275,5,2,0.49999999999999994,-0.8660254037844387,0,1,4,1
2023-06-01,S001,P0002,2261.36,2185,1284,50.310833333333335,50.181666666666665,5.833333333333333,291.25,5,Furniture,West,2,4,5,1,1058.12,1347.0,1445.16,1423.0,1435.22,1293.0,1312.8333333333333,0.002573981201634129,6,2,1.2246467991473532e-16,-1.0,0,1,2,3
2023-07-01,S001,P0002,1701.65,1665,1298,50.14333333333334,51.70250000000001,8.75,270.6666666666667,7,Electronics,East,1,6,3,2,2261.36,1284.0,1058.12,1347.0,1445.16,1423.0,1588.2133333333331,-0.03015650435987949,7,3,-0.4999999999999997,-0.8660254037844388,0,1,1,0
2023-08-01,S001,P0002,1287.04,1252,1360,68.92833333333333,70.21333333333332,15.0,217.41666666666663,5,Clothing,East,3,3,4,2,1701.65,1298.0,2261.36,1284.0,1058.12,1347.0,1673.71,-0.018301367261678646,8,3,-0.8660254037844385,-0.5000000000000004,0,1,0,0
2023-09-01,S001,P0002,1249.14,1183,1022,56.9825,56.57666666666666,7.916666666666667,260.1666666666667,7,Furniture,South,5,2,3,2,1287.04,1360.0,1701.65,1298.0,2261.36,1284.0,1750.0166666666667,0.007173157367583943,9,3,-1.0,-1.8369701987210297e-16,0,1,2,2
2023-10-01,S001,P0002,1633.42,1559,1432,47.8525,47.02166666666667,9.166666666666666,257.0833333333333,8,Clothing,West,3,2,6,1,1249.14,1022.0,1287.04,1360.0,1701.65,1298.0,1412.61,0.01766915960727319,10,4,-0.8660254037844386,0.5000000000000001,0,1,0,3
2023-11-01,S001,P0002,1844.7,1753,1557,51.02166666666667,49.165,7.5,321.9166666666667,5,Furniture,East,3,2,2,5,1633.42,1432.0,1249.14,1022.0,1287.04,1360.0,1389.8666666666668,0.03776399199972885,11,4,-0.5000000000000004,0.8660254037844384,0,1,2,0
2023-12-01,S001,P0002,1118.56,1107,1363,66.90333333333334,67.0775,10.0,322.75,8,Groceries,West,3,3,3,3,1844.7,1557.0,1633.42,1432.0,1249.14,1022.0,1575.7533333333333,-0.002596499074453648,12,4,-2.4492935982947064e-16,1.0,0,1,3,3
2024-01-01,S001,P0002,101.47,99,73,44.84,41.09,10.0,217.0,0,Furniture,West,0,0,1,0,1118.56,1363.0,1844.7,1557.0,1633.42,1432.0,1532.2266666666667,0.09126308104161596,1,1,0.49999999999999994,0.8660254037844387,0,1,2,3
