Month_Start,Store ID,Product ID,Demand Forecast,Units Sold,Units Ordered,Price,Competitor Pricing,Discount,Inventory Level,Holiday/Promotion,Category,Region,Weather_Cloudy,Weather_Rainy,Weather_Snowy,Weather_Sunny
2022-01-01,S001,P0001,1493.23,1415,1014,42.267500000000005,41.045833333333334,10.416666666666666,239.58333333333334,5,Groceries,North,3,4,3,2
2022-01-01,S001,P0002,1641.18,1571,1531,52.89083333333334,52.69,12.916666666666666,254.83333333333334,3,Toys,South,7,1,2,2
2022-01-01,S001,P0003,1785.9,1706,1494,50.91583333333333,50.03333333333333,11.25,260.75,5,Toys,West,2,3,3,4
2022-01-01,S001,P0004,1961.8500000000001,1909,1636,60.67666666666667,60.9575,7.916666666666667,352.4166666666667,9,Toys,North,4,1,6,1
2022-01-01,S001,P0005,1294.03,1280,1374,59.18,58.00333333333333,12.916666666666666,261.0,5,Electronics,East,2,5,1,4
2022-01-01,S001,P0006,1268.12,1194,1134,54.637499999999996,54.9675,11.666666666666666,259.6666666666667,6,Groceries,South,4,3,1,4
2022-01-01,S001,P0007,1733.29,1658,1492,66.05666666666666,65.99833333333333,9.583333333333334,216.5,5,Furniture,East,3,4,1,4
2022-01-01,S001,P0008,1644.97,1605,1233,66.66000000000001,67.36,8.75,336.3333333333333,4,Clothing,North,7,0,2,3
2022-01-01,S001,P0009,1085.16,1034,1373,52.945,52.49666666666667,7.5,198.75,3,Electronics,West,3,2,4,3
2022-01-01,S001,P0010,1186.44,1181,1301,67.40583333333333,67.33666666666666,12.083333333333334,189.0,7,Toys,South,1,2,4,5
2022-01-01,S001,P0011,992.86,923,1600,55.5025,55.598333333333336,10.833333333333334,176.0,4,Furniture,South,2,3,5,2
2022-01-01,S001,P0012,1531.26,1507,1262,64.53666666666666,65.23583333333333,9.583333333333334,261.9166666666667,2,Clothing,West,2,6,3,1
2022-01-01,S001,P0013,1973.7,1864,1454,50.155833333333334,49.635,12.083333333333334,267.6666666666667,7,Toys,South,4,2,3,3
2022-01-01,S001,P0014,1525.01,1475,1647,51.055,52.310833333333335,6.25,264.0833333333333,8,Clothing,West,2,3,2,5
2022-01-01,S001,P0015,2109.0099999999998,2025,1260,60.2925,61.192499999999995,10.416666666666666,320.75,5,Clothing,North,2,5,2,3
2022-01-01,S001,P0016,1789.54,1690,1204,60.08166666666667,60.262499999999996,11.666666666666666,243.41666666666666,7,Electronics,North,3,2,3,4
2022-01-01,S001,P0017,1484.16,1485,1179,66.00416666666666,65.3725,11.666666666666666,301.25,3,Toys,West,4,6,0,2
